Gender_x;Type;TournamentNo;SpikeFault;SpikePoint;ServeFault;ServePoint;ServeTotal;BlockPoint;BlockTotal;DigTotal;ReceptionFault;SpikeTotal;@LocalDate;@LocalTime;FederationCode_y;FirstName;LastName;FirstName2;LastName2;@TeamAName;@TeamBName;NoPlayer1_team;NoPlayer2_team;@PointsTeamASet1;@PointsTeamBSet1;@PointsTeamASet2;@PointsTeamBSet2;@PointsTeamASet3;@PointsTeamBSet3;@DurationSet1;@DurationSet2;@DurationSet3;temperature_2m;precipitation;wind_speed_10m;rain;wind_gusts_10m;TeamFault_team;match_win;TeamDesignation;TeamNameFull
1;51;6867;9;34;8;4;46;1;10;23;0;64;2023-08-17;20:00:00;GER;Cinja;Tillmann;Svenja;Müller;Müller/Tillmann;Hughes/Cheng;153267.0;125549.0;21.0;18.0;15.0;21.0;10.0;15.0;1017.0;1028.0;714.0;17.7;0.0;16.5;0.0;28.1;25.0;0;A;Müller/Tillmann
1;51;6867;4;37;4;0;54;2;4;27;3;61;2023-08-17;20:00:00;USA;Kelly;Cheng;Sara;Hughes;Müller/Tillmann;Hughes/Cheng;135571.0;140066.0;21.0;18.0;15.0;21.0;10.0;15.0;1017.0;1028.0;714.0;17.7;0.0;16.5;0.0;28.1;27.0;1;B;Hughes/Cheng
1;51;6867;7;17;4;0;28;2;6;11;9;32;2023-08-17;18:00:00;THA;Taravadee;Naraphornrapat;Worapeerachayakorn;Kongphopsarutawadee;Naraphornrapat/Worapeerachayakorn;Gottardi/Menegatti;181183.0;118204.0;12.0;21.0;14.0;21.0;;;936.0;1092.0;;17.5;0.2;14.6;0.2;25.9;9.0;0;A;Naraphornrapat/Worapeerachayakorn
1;51;6867;2;21;5;9;40;3;4;16;0;30;2023-08-17;18:00:00;ITA;Marta;Menegatti;Valentina;Gottardi;Naraphornrapat/Worapeerachayakorn;Gottardi/Menegatti;138962.0;150542.0;12.0;21.0;14.0;21.0;;;936.0;1092.0;;17.5;0.2;14.6;0.2;25.9;15.0;1;B;Gottardi/Menegatti
1;51;6867;3;26;5;3;42;5;7;24;4;39;2023-08-18;12:00:00;BRA;Barbara;Seixas de Freitas;Carolina;Solberg Salgado;Carol/Barbara;Tina/Anastasija;141983.0;141984.0;21.0;15.0;21.0;16.0;;;1071.0;1103.0;;24.5;0.0;7.6;0.0;18.4;20.0;1;A;Carol/Barbara
1;51;6867;9;19;3;4;31;2;7;14;3;44;2023-08-18;12:00:00;LAT;Anastasija;Samoilova;Tina;Graudina;Carol/Barbara;Tina/Anastasija;104079.0;104505.0;21.0;15.0;21.0;16.0;;;1071.0;1103.0;;24.5;0.0;7.6;0.0;18.4;11.0;0;B;Tina/Anastasija
1;51;6867;3;20;5;6;41;2;8;10;1;28;2023-08-18;12:00:00;BRA;Eduarda;Santos Lisboa;Ana Patricia;Silva Ramos;Ana Patrícia/Duda;Zeimann/MacDonald;147073.0;139087.0;21.0;11.0;21.0;18.0;;;825.0;1004.0;;24.5;0.0;7.6;0.0;18.4;11.0;1;A;Ana Patrícia/Duda
1;51;6867;8;19;6;1;30;0;4;10;6;35;2023-08-18;12:00:00;NZL;Olivia;MacDonald;Alice;Zeimann;Ana Patrícia/Duda;Zeimann/MacDonald;161082.0;142580.0;21.0;11.0;21.0;18.0;;;825.0;1004.0;;24.5;0.0;7.6;0.0;18.4;14.0;0;B;Zeimann/MacDonald
1;51;6867;5;31;7;2;51;5;12;28;1;60;2023-08-18;13:00:00;CHN;Xinyi;Xia;Chen;Xue;Xue/X. Y. Xia;Agatha/Rebecca;104438.0;141784.0;16.0;21.0;21.0;17.0;15.0;13.0;1076.0;1130.0;864.0;21.6;0.0;5.4;0.0;19.1;27.0;1;A;Xue/X. Y. Xia
1;51;6867;11;38;8;1;52;1;5;31;2;67;2023-08-18;13:00:00;BRA;Agatha;Bednarczuk;Rebecca Cavalcante Barbosa;Silva;Xue/X. Y. Xia;Agatha/Rebecca;115287.0;132686.0;16.0;21.0;21.0;17.0;15.0;13.0;1076.0;1130.0;864.0;21.6;0.0;5.4;0.0;19.1;23.0;0;B;Agatha/Rebecca
